,FWHM,rise,flat,error
0,0.1402752063678062,10.0,0.1,0.001176919925315032
1,0.16484256784752307,10.0,0.2,0.0005131987306967812
2,0.16670172704222808,10.0,0.3,0.00046848966132288897
3,0.16340448316888329,10.0,0.4,0.0005196368792409514
4,0.1661704739971925,10.0,0.5,0.00042434978423426675
5,0.1643938165793003,10.0,0.6,0.0005020135979961683
6,0.16433961829773713,10.0,0.7,0.0005181069711689101
7,0.1646237108524638,10.0,0.7999999999999999,0.0004701370493809482
8,0.1646745736422922,10.0,0.8999999999999999,0.0006210715342632125
9,0.16546829117833287,10.0,0.9999999999999999,0.0006163323861519544
10,0.16583129755901405,10.0,1.0999999999999999,0.0006331357373941603
11,0.16665033242989097,10.0,1.2,0.0007499179925122814
12,0.16699047415348156,10.0,1.3,0.0007399152226967432
13,0.16666578123469333,10.0,1.4,0.0007320564696661319
14,0.1664542681651964,10.0,1.5,0.0006288143636844909
15,0.14309561538480506,10.0,1.5999999999999999,0.0010447248536180863
16,0.16668720435995982,10.0,1.7,0.000545503741659164
17,0.14468846635819932,10.0,1.8,0.0011298796915882108
18,0.14185747604154372,10.0,1.9,0.0012895882028092465
